later_cve,prior_cve,confirmed_by,relationship_kind,same_codebase,is_incomplete_fix_cause,llm_confidence,overlap_status,overlap_file_count,overlap_files,later_patch_url,prior_patch_url,cited_sentence,best_evidence_url,sheet_year,vendor,product,num_evidence,num_upstream_commits
CVE-2019-1429,CVE-2019-1367,llm,incomplete_fix,True,True,0.88,no_patches,0,,,,The incomplete patch and the variant are patched as CVE-2020-1429.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2019/CVE-2019-1367.md,2019,Microsoft,Internet Explorer,5,5
CVE-2022-22265,CVE-2020-28343,llm,same_root_cause,True,False,0.80,no_patches,0,,,,The bug was likely discovered while performing variant analysis on [CVE-2020-28343].,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-22265.md,,,,2,1
CVE-2022-22265,chromium-p0:2073,llm,same_root_cause,True,False,0.84,partial,0,,,https://github.com/microsoft/GitHub-Copilot-for-Azure/commit/568df5695440b12e7e7317a3b1c9a23aa8318775,The bug was likely discovered while performing variant analysis on [CVE-2020-28343](https://bugs.chromium.org/p/project-zero/issues/detail?id=2073).,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-22265.md,,,,1,1
CVE-2022-4135,chromium:1392715,overlap,see_also,True,False,0.80,overlap,3,gpu/command_buffer/service/gles2_cmd_decoder.cc|gpu/command_buffer/service/texture_manager.cc|gpu/command_buffer/service/texture_manager.h,https://chromium.googlesource.com/chromium/src/+/2bd6ab1a16090fd20d422c11d794edf5c0ff6b89,https://chromium-review.googlesource.com/c/chromium/src/+/4055567,Issue/Bug Report: https://bugs.chromium.org/p/chromium/issues/detail?id=1392715,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-4135.md,,,,1,2
CVE-2022-4135,chromium:1335422,llm,same_root_cause,True,False,0.75,no_overlap,0,,https://chromium.googlesource.com/chromium/src/+/2bd6ab1a16090fd20d422c11d794edf5c0ff6b89,https://chromium-review.googlesource.com/c/chromium/src/+/4544053,"**Ideas to kill the bug class:** The specific subclass (out-of-bounds access on an `std::vector`) has been eliminated in Chrome by [""safe C++ mode""](https://bugs.chromium.org/p/chromium/issues/detail?id=1335422) runtime checks.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-4135.md,,,,1,2
CVE-2022-41073,CVE-2022-29104,llm,same_root_cause,True,False,0.85,no_patches,0,,,,"CVE-2022-41073 is the same bug as [CVE-2022-29104](https://msrc.microsoft.com/update-guide/en-us/vulnerability/CVE-2022-29104), which was fixed in May 2022 and whose POC was available on VirusTotal in July 2022.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-41073.md,,,,3,3
CVE-2022-21882,CVE-2021-1732,llm,same_root_cause,True,False,0.86,partial,0,,https://github.com/huyremy/netcat/commit/2e5a97bdcd977ebc6721382c71d1c8b197b20d06,,"Known cases of the same exploit flow: It is the same as the previous CVE-2021-1732 exploit, and is a common way of exploiting privilege escalation vulnerabilities.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-21882.md,,,,5,0
CVE-2022-4262,chromium:1425616,llm|overlap,same_root_cause,True,False,0.80,overlap,1,src/ast/scopes.cc,https://chromium-review.googlesource.com/c/v8/v8/+/4096480,https://chromium-review.googlesource.com/c/v8/v8/+/4365867,"not all such issues had security impact, such as [this one](https://bugs.chromium.org/p/chromium/issues/detail?id=1425616) where due to lucky circumstances, the bytecode mismatch was harmless.",https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-4262.md,,,,1,4
CVE-2022-41128,CVE-2021-34480,llm,same_root_cause,True,False,0.80,no_patches,0,,,,This vulnerability is very similar to [CVE-2021-34480](https://bugs.chromium.org/p/project-zero/issues/detail?id=2188) discovered by Ivan Fratric through fuzzing.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-41128.md,,,,1,2
CVE-2022-41128,chromium-p0:2188,llm,same_root_cause,True,False,0.80,partial,0,,,https://github.com/ShmidtS/context-mode/commit/734bdbc2b726a19fc9f7328ae82eb61a8d9920fb,This vulnerability is very similar to [CVE-2021-34480](https://bugs.chromium.org/p/project-zero/issues/detail?id=2188) discovered by Ivan Fratric through fuzzing.,https://github.com/googleprojectzero/0days-in-the-wild/blob/main/0day-RCAs/2022/CVE-2022-41128.md,,,,1,2
